Galactocentric Raidus,Cluster Metallicity,Number of Objects in the Cluster,Cluster Mass,Observational Core Radius,Observational Half-Light Radius,Central Surface Brightness Total,Binary Fraction,Half-Mass Relaxation Time,Total Luminosity of Cluster at 12 Gyrs,Central Velocity Dispersion 3d,Total V-band luminosity,Central surface brightness from King 62 fitting of cumulative luminosity profile from snap-2D.dat,Core radius obtained from King 62 fitting of snap-2D.dat,Half-light radius obtained from King 62 fitting,Total luminosity from snap-2D,Single Black Holes,Binary Black Holes,Black Hole Other Count,Mass of Most Massive Black Hole,Fallback Enabled,Central Velocity Dispersion,,
1.941759795,0.001,36213,22233.7471,0.074423325,1.74020963,3863.80953,0.0466407,268.104578,17447.8028,2.96717706,12467.5,2670.940482,0.577124986,1.70738,12467.5,1,0,0,1833.30862,1,7.61807,5444.1,22309
1.941759795,0.001,45187,26785.6217,0.116088019,1.84050323,4171.68469,0.0537987,353.576436,21656.684,3.11893136,18621.8,5220.719873,0.489552607,1.5347,18621.8,1,0,0,2322.83983,0,7.51239,7684.7,14178
1.941759795,0.001,43797,25169.6577,0.019770029,1.11412379,24124.0674,0.0749823,252.78316,17628.1277,6.0074271,14077.5,9531.948183,0.27326202,1.17485,14077.5,0,0,0,0,1,3.9398,85120,69555
15.53407836,0.001,86254,32255.1479,10.928648,11.3856293,19.4049798,0.0927725,9407.0303,19261.7437,2.13635478,14378.4,26.72181234,6.267174824,13.0207,14378.4,2,0,0,7.96603081,0,1.29723,20.865,132.27
15.53407836,0.001,372407,125322.442,0.397047801,2.67629655,10544.6816,0.0750093,4087.33027,61806.7634,5.28633008,45666.8,13209.12605,0.364665511,2.82389,45666.8,1,0,1,8.0501913,0,4.5472,12008,25221
15.53407836,0.001,359233,120635.613,3.72923264,5.29581389,466.523428,0.0762263,7120.05617,59150.4463,2.43068289,43571.2,485.5797883,3.246955219,5.63879,43571.2,61,3,0,15.041799,1,3.65814,397.93,2103.2
15.53407836,0.001,377884,127228.267,2.02715703,5.36594328,788.609266,0.0861878,8021.99489,59212.8782,5.15048795,45107.1,886.1458263,1.822657493,5.56935,45107.1,1,0,0,5.33738283,0,2.97973,813.45,2759.9
15.53407836,0.001,352185,120507.6,0.361627427,10.6163393,124.634746,0.0849184,14161.187,60339.0067,2.1384881,44415.4,118.2886435,5.051750832,11.2728,44415.4,164,5,3,26.1819367,1,3.34051,289.82,787.97
5.492126074,0.001,263803,94042.8775,0.667131235,2.01996462,5774.35106,0.0566635,2007.34679,49777.5892,2.12845268,40711,3913.512905,1.065591647,2.03085,40711,1,0,0,1296.565,0,6.17479,6878.9,16223
5.492126074,0.001,276884,98169.8446,0.876637295,1.96002215,3632.96768,0.0682163,2205.52175,54452.5955,8.5409141,39011.5,5866.510358,0.705711262,1.9813,39011.5,0,1,1,12.3889458,1,3.9211,4359.4,9326.5
5.492126074,0.001,324909,113979.03,0.622464707,1.98732451,6966.47796,0.0771478,2632.00578,62913.5713,7.4379144,46008.3,9559.6701,0.48910713,2.32766,46008.3,0,0,1,5.33705055,0,4.26978,8075.1,18930
5.492126074,0.001,285968,101117.582,2.83126017,4.76608927,512.356239,0.0784948,4726.80818,53674.367,3.33129962,39557.2,448.0108271,4.037661927,5.05416,39557.2,53,5,1,14.9480384,1,3.74526,599.83,2203.4
1.941759795,0.001,7927,10500.3594,0.577732965,1.00276533,920.72455,0.0556326,3.26E-04,5594.884,2.69379771,3160.31,1700.097654,0.286058975,1.61598,3160.31,1,0,0,5765.02962,0,17.3931,1856.9,8209.7
1.941759795,0.001,27375,17811.2244,0.060822068,1.24355266,4318.7658,0.0447854,218.459862,21898.1183,4.22215326,11421.8,1499.507153,0.759893694,2.03043,11421.8,1,0,0,1736.89659,1,11.8465,21848,29979
1.941759795,0.001,61379,33614.4032,0.020831121,1.67171336,3435.65298,0.0555239,405.338618,22187.4391,2.54937563,17068.2,3112.337737,0.622722592,1.78129,17068.2,1,0,0,1611.7114,0,9.60094,12332,14080
1.941759795,0.001,56521,31137.5256,0.026726935,1.19217317,17887.9429,0.078608,306.849145,23202.5313,6.14819522,18178.5,16036.50572,0.236906039,1.12625,18178.5,0,0,1,3.08011529,1,4.13038,43871,92376
